사업장명,인허가일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,건축물동수,건축물연면적,공사립구분명,문화체육업종명,법인명,부지면적,세부업종명,지도자수,회원모집총인원수,정제지번주소,정제도로명주소,정제우편번호
달성군여성문화복지센터,20061201,폐업 등,,,,,,,,사립,종합체육시설업,,,,,,대구광역시 달성군 화원읍 설화리 553-3번지,대구광역시 달성군 화원읍 성천로 5,711833
달성문화센터,20110715,폐업 등,,,,,,,,사립,종합체육시설업,,,,4,,대구광역시 달성군 다사읍 매곡리 1515-3번지,대구광역시 달성군 다사읍 대실역북로2길 188,711812
달성국민체육센터,20131015,폐업 등,,,,,,1,2581.06,사립,종합체육시설업,,5700,,2,,대구광역시 달성군 현풍면 성하리 227번지,,711872
DGIST 스포츠센터,20140619,운영중,,,,,,1,8573.78,사립,종합체육시설업,,,,,,대구광역시 달성군 현풍면 상리 50-1번지,대구광역시 달성군 현풍면 테크노중앙대로 333,711873
(주)천명개발,19970228,폐업 등,20060619,,,,,,,사립,종합체육시설업,,,,,,대구광역시 달서구 본동 225-7번지,대구광역시 달서구 구마로 184  (본동),704805
웰씨휘트니스(주),20060609,폐업 등,20071102,,,,,,,사립,종합체육시설업,,,,4,,대구광역시 달서구 본동 225-7번지,대구광역시 달서구 구마로 184  (본동),704805
도시안스포츠센타(주) 대구지점,20071227,폐업 등,20091027,,,,,,,사립,종합체육시설업,,,,,,대구광역시 달서구 본동 225-7번지,대구광역시 달서구 구마로 184  (본동),704805
센트로밸리휘트니스타,20080919,운영중,,,,,,,,사립,종합체육시설업,,,,,,대구광역시 달서구 월성동 273-4번지,대구광역시 달서구 월성로 42  (월성동),704828
그린스포츠센터,20160704,운영중,,,,,,,7618.17,사립,종합체육시설업,,,,3,,대구광역시 북구 칠성동2가 2-5번지,"대구광역시 북구 옥산로 103, 운동시설동 101호 (칠성동2가, 침산1차푸르지오아파트)",
아양아트센터,20130820,운영중,,,,,,,11978.01,사립,종합체육시설업,,25057,,4,3000,대구광역시 동구 효목동 1084번지,대구광역시 동구 효동로2길 24 (효목동),701843
유성스포츠프라자,19890825,운영중,,,,,,,,사립,종합체육시설업,,,,,,대구광역시 수성구 범어동 1801번지,대구광역시 수성구 국채보상로 826 (범어동),
(주)선영 선 스포츠프라자,19891017,운영중,,,,,,,,사립,종합체육시설업,,,,,,대구광역시 수성구 범어동 332번지,대구광역시 수성구 범어로 9 (범어동),706822
동아스포츠센터,19960720,운영중,,,,,,,,사립,종합체육시설업,,,,,,대구광역시 수성구 지산동 1160-74번지,대구광역시 수성구 지범로 59 (지산동),706092
아레나 스포츠센터,19980530,폐업 등,20120529,,,,,,,사립,종합체육시설업,,,,,,대구광역시 수성구 신매동 567번지,대구광역시 수성구 달구벌대로 3188  (신매동),706170
인터불고 휘트니스,20010614,운영중,,,,,,,,사립,종합체육시설업,,,,,,대구광역시 수성구 만촌동 산 92-1번지,대구광역시 수성구 팔현길 212 (만촌동),706803
휘트니스센터 제드,20100824,폐업 등,20110113,,,,,,,사립,종합체육시설업,,,,6,,대구광역시 수성구 범어동 179번지 301동 상가 B301.B302.B303,"대구광역시 수성구 달구벌대로 2435  (범어동,301동 상가 B301.B302.B303)",706011
휘트니스센터 제드,20120618,운영중,,,,,,,,사립,종합체육시설업,,,,,,대구광역시 수성구 범어동 179번지,대구광역시 수성구 달구벌대로 2435 (범어동),706745
라온 휘트니스 센터,20140603,운영중,,,,,,,,사립,종합체육시설업,,,,3,1100,대구광역시 수성구 범어동 805-4번지,"대구광역시 수성구 범어천로 73 (범어동, 호텔 라온제나)",
네오시티 스포츠센타,19980530,폐업 등,20091006,,,,,,,사립,종합체육시설업,,,,,,대구광역시 북구 태전동 993번지,대구광역시 북구 칠곡중앙대로 412  (태전동),702866
(주)더블에이치멀티짐 대구점,20060104,폐업 등,20120523,,,,,,,사립,종합체육시설업,,,,,,대구광역시 북구 칠성동2가 2-5번지 (지하1층),대구광역시 북구 옥산로 103 (칠성동2가),702851
송림스포츠센터,20060908,운영중,,,,,,,,사립,종합체육시설업,,,,,,"대구광역시 북구 태전동 409-7번지 지하1,2층 지상3층",대구광역시 북구 칠곡중앙대로 309 (태전동),702864
유니버시아드레포츠센터,20100907,운영중,,,,,,,,사립,종합체육시설업,,,,5,,"대구광역시 북구 서변동 1724-1번지 지하1(수영장),지상2~4(골프연습장),5(체력단련장)","대구광역시 북구 호국로57길 6, 지하1,지상2~5층 (서변동)",702894
해든 스포츠센터,20131014,폐업 등,20151029,,,,,,7618.17,사립,종합체육시설업,,,,4,,대구광역시 북구 칠성동2가 2-5번지 비101호,"대구광역시 북구 옥산로 103, 비101호 (칠성동2가)",702748
위더스 스포츠,20140827,운영중,,,,,,,,사립,종합체육시설업,,,,4,,"대구광역시 북구 태전동 993번지 701호, 801호","대구광역시 북구 칠곡중앙대로 412, 701호, 801호 (태전동)",702714
대원레포츠,19940719,폐업 등,20090406,,,,,,7242,사립,종합체육시설업,,20755,,,,대구광역시 남구 봉덕동 산 152-1번지,대구광역시 남구 앞산순환로 574-114  (봉덕동),705832
효성코아 헬스장,20080627,폐업 등,20090311,,,,,,,사립,종합체육시설업,,,,2,,대구광역시 남구 봉덕동 1071-6번지 3층,"대구광역시 남구 대덕로40길 56  (봉덕동,3층)",705828
트럼프 스포츠,20171017,운영중,,,,,,,,사립,종합체육시설업,,,,,,대구광역시 수성구 두산동 105번지,"대구광역시 수성구 동대구로 59, C동 B3호 (두산동, 대우트럼프월드수성아파트)",

