"행정구역(구군)별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"행정구역(구군)별(1)",배출업소 (개),단속업소 (개),위반업소 (개),행정처분 (건),행정처분 (건),행정처분 (건),행정처분 (건),행정처분 (건),행정처분 (건),행정처분 (건),행정처분 (건),병과고발 (건)
"행정구역(구군)별(1)",소계,소계,소계,경고,개선명령,조업정지,사용중지,허가취소,폐쇄명령,순수고발,기타,소계
"합계",5060,3654,192,95,55,14,15,-,-,1,12,13
"중구",65,44,-,-,-,-,-,-,-,-,-,-
"동구",261,212,8,2,-,1,-,-,-,-,5,-
"서구",820,833,61,27,23,2,9,-,-,-,-,1
"남구",60,28,1,-,-,-,1,-,-,-,-,-
"북구",1554,1025,42,28,7,3,1,-,-,-,3,1
"수성구",171,98,3,1,2,-,-,-,-,-,-,-
"달서구",1282,947,50,25,15,2,4,-,-,-,4,6
"달성군",781,436,25,11,7,6,-,-,-,1,-,5
"경제자유구역청",66,31,2,1,1,-,-,-,-,-,-,-
