"행정구역별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"행정구역별(1)",배출사업장 (개),단속사업장 (개),위반사업장 (개),행정처분내역 (건),행정처분내역 (건),행정처분내역 (건),행정처분내역 (건),행정처분내역 (건),행정처분내역 (건),행정처분내역 (건),행정처분내역 (건),병과고발 (건)
"행정구역별(1)",소계,소계,소계,경고,개선명령,조업정지,사용금지,허가취소,폐쇄명령,순수고발,기타,소계
"합계",261,212,8,2,-,1,-,-,-,-,5,-
"신암1동",1,1,-,-,-,-,-,-,-,-,-,-
"신암2동",1,1,-,-,-,-,-,-,-,-,-,-
"신암3동",2,1,-,-,-,-,-,-,-,-,-,-
"신암4동",16,14,-,-,-,-,-,-,-,-,-,-
"신암5동",1,1,-,-,-,-,-,-,-,-,-,-
"신천1·2동",2,3,1,-,-,-,-,-,-,-,1,-
"신천3동",9,8,-,-,-,-,-,-,-,-,-,-
"신천4동",7,7,-,-,-,-,-,-,-,-,-,-
"효목1동",5,6,-,-,-,-,-,-,-,-,-,-
"효목2동",4,1,-,-,-,-,-,-,-,-,-,-
"도평동",-,-,-,-,-,-,-,-,-,-,-,-
"불로·봉무동",16,14,1,1,-,-,-,-,-,-,-,-
"지저동",6,3,-,-,-,-,-,-,-,-,-,-
"동촌동",15,10,-,-,-,-,-,-,-,-,-,-
"방촌동",15,10,-,-,-,-,-,-,-,-,-,-
"해안동",5,4,1,1,-,-,-,-,-,-,-,-
"안심1동",13,7,-,-,-,-,-,-,-,-,-,-
"안심2동",27,31,-,-,-,-,-,-,-,-,-,-
"안심3·4동",111,89,5,-,-,1,-,-,-,-,4,-
"공산동",5,1,-,-,-,-,-,-,-,-,-,-
