"동별(1)",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"동별(1)",배출업소,단속업소,위반업소,행정처분내역,행정처분내역,행정처분내역,행정처분내역,행정처분내역,행정처분내역,행정처분내역,행정처분내역,병과고발
"동별(1)",소계,소계,소계,경 고,개선명령,조업정지,사용금지,허가취소,폐쇄명령,순수고발,기 타,소계
"합계",820,833,61,27,23,2,9,-,-,-,-,1
"내당1동",3,1,-,-,-,-,-,-,-,-,-,-
"내당2·3동",-,-,-,-,-,-,-,-,-,-,-,-
"내당4동",3,1,-,-,-,-,-,-,-,-,-,-
"비산1동",-,-,-,-,-,-,-,-,-,-,-,-
"비산2·3동",-,-,-,-,-,-,-,-,-,-,-,-
"비산4동",2,-,-,-,-,-,-,-,-,-,-,-
"비산5동",-,-,-,-,-,-,-,-,-,-,-,-
"비산6동",1,1,-,-,-,-,-,-,-,-,-,-
"비산7동",315,332,18,9,2,1,6,-,-,-,-,-
"평리1동",5,-,-,-,-,-,-,-,-,-,-,-
"평리2동",-,-,-,-,-,-,-,-,-,-,-,-
"평리3동",2,-,-,-,-,-,-,-,-,-,-,-
"평리4동",7,3,-,-,-,-,-,-,-,-,-,-
"평리5동",2,-,-,-,-,-,-,-,-,-,-,-
"평리6동",40,40,4,1,2,1,-,-,-,-,-,-
"상중이동",438,455,39,17,19,-,3,-,-,-,-,1
"원대동",2,-,-,-,-,-,-,-,-,-,-,-
